Accession	Length	Pred	Proportion	PhaMerScore	PhaMerConfidence	Lineage	PhaGCNScore	Genus	GenusCluster	TYPE	PhaTYPScore	Host	CHERRYScore	Method	Host_NCBI_lineage	Host_GTDB_lineage
NODE_5_length_907_cov_14.048122	907	virus	0.33	0.83	"low-confidence; please run contamination detection task"	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	genus:Escherichia	1	AAI-based	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia"	Not found
NODE_5_length_922_cov_19.539792	922	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_5_length_931_cov_95.533105	931	virus	1	0.95	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_5_length_992_cov_18.456777	992	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_6_length_1030_cov_605.083077	1030	virus	0.5	0.97	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_6_length_1045_cov_32.179798	1045	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Pahexavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Pahexavirus	known_genus	virulent	1	species:Cutibacterium avidum	1	CRISPR-based (DB)	"d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"	"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"
NODE_6_length_1136_cov_49.439408	1136	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_6_length_1281_cov_348.969005	1281	virus	0.5	1	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Pahexavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Pahexavirus	known_genus	virulent	1	species:Cutibacterium avidum	1	CRISPR-based (DB)	"d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"	"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"
NODE_6_length_1479_cov_422.668539	1479	virus	0.67	1	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_6_length_1589_cov_294.802477	1589	virus	0.33	0.95	medium-confidence	"superkingdom:Viruses;clade:Riboviria;kingdom:Orthornavirae;phylum:Lenarviricota;class:Leviviricetes;order:Norzivirales;family:Fiersviridae;genus:Emesvirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Emesvirus	known_genus	virulent	0.65	species:activated sludge metagenome	1	AAI-based	-	-
NODE_6_length_1635_cov_386.708228	1635	virus	0.67	0.95	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_6_length_1657_cov_243.481273	1657	virus	0.33	0.58	"low-confidence; please run contamination detection task"	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_6_length_1786_cov_13.346043	1786	virus	0.8	0.99	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_6_length_2270_cov_1470.847404	2270	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_6_length_521_cov_23.738197	521	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_6_length_526_cov_4.099788	526	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Riboviria;kingdom:Orthornavirae;phylum:Kitrinoviricota;class:Tolucaviricetes;order:Tolivirales;family:Tombusviridae;subfamily:Calvusvirinae;genus:Umbravirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Umbravirus	known_genus	-	0	genus:Patrinia	1	AAI-based	-	-
NODE_6_length_587_cov_4.233083	587	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_6_length_612_cov_19.228007	612	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_6_length_649_cov_9.929293	649	non-virus	0.67	0.01	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_6_length_757_cov_46.930199	757	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	virulent	1	-	0	-	-	-
NODE_6_length_761_cov_12.488669	761	virus	1	0.99	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;subfamily:Guernseyvirinae;genus:Jerseyvirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Jerseyvirus	known_genus	virulent	0.53	genus:Salmonella	1	AAI-based	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella"	Not found
NODE_6_length_777_cov_55.574792	777	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_6_length_832_cov_34.378378	832	virus	0.5	0.63	"low-confidence; please run contamination detection task"	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;family:Aliceevansviridae"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	temperate	0.99	species:Streptococcus oralis	1	CRISPR-based (DB)	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis"	"d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus halitosis"
NODE_6_length_874_cov_21.888889	874	non-virus	0.5	0.15	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_6_length_881_cov_6.582324	881	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_6_length_906_cov_6.803760	906	virus	0.25	0.98	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Pahexavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Pahexavirus	known_genus	virulent	1	species:Cutibacterium acnes	1	AAI-based	"d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes"	Not found
NODE_6_length_996_cov_186.447396	996	non-virus	1	0	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_7_length_1024_cov_594.012384	1024	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_7_length_1345_cov_1729.662791	1345	virus	0.25	0.97	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_7_length_1374_cov_2137.158453	1374	virus	1	0.97	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_7_length_1381_cov_89.665158	1381	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_7_length_1459_cov_138.195869	1459	virus	0.5	0.58	"low-confidence; please run contamination detection task"	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_7_length_1544_cov_32.958361	1544	virus	1	0.58	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_7_length_572_cov_5.301741	572	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;order:Crassvirales;family:Intestiviridae;subfamily:Crudevirinae;genus:Carjivirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Carjivirus	known_genus	-	0	species:bacterium	1	AAI-based	-	-
NODE_7_length_582_cov_53.402277	582	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Riboviria;kingdom:Pararnavirae;phylum:Artverviricota;class:Revtraviricetes;order:Ortervirales;family:Retroviridae;subfamily:Orthoretrovirinae;genus:Gammaretrovirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Gammaretrovirus	known_genus	-	0	genus:Mus	1	AAI-based	-	-
NODE_7_length_615_cov_52.973214	615	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_7_length_660_cov_27.130579	660	virus	0.5	0.97	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;family:Autographiviridae;subfamily:Studiervirinae"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	-	singleton	virulent	1	-	0	-	-	-
NODE_7_length_663_cov_8.564145	663	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;family:Herelleviridae;subfamily:Twortvirinae;genus:Silviavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Silviavirus	known_genus	virulent	1	species:Staphylococcus aureus	1	AAI-based	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus"	Not found
NODE_7_length_815_cov_35.875000	815	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_7_length_861_cov_56.404467	861	virus	1	0.99	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;family:Herelleviridae;subfamily:Twortvirinae;genus:Baoshanvirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Baoshanvirus	known_genus	virulent	0.85	species:Staphylococcus aureus	1	AAI-based	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus"	Not found
NODE_7_length_861_cov_65.924318	861	virus	1	1	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	NA	singleton	-	0	species:Geobacillus stearothermophilus	0.92	CRISPR-based (DB)	"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus;s__Geobacillus stearothermophilus"	"d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Anoxybacillaceae;g__Geobacillus;s__Geobacillus stearothermophilus"
NODE_7_length_868_cov_149.783518	868	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_7_length_883_cov_177.833333	883	virus	1	0.58	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_7_length_987_cov_195.878755	987	virus	0.67	0.95	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_8_length_1055_cov_353.648000	1055	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_8_length_1581_cov_51.761468	1581	virus	0.5	0.58	"low-confidence; please run contamination detection task"	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_8_length_1829_cov_1725.580045	1829	virus	0.67	1	high-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
NODE_8_length_510_cov_42.813187	510	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_8_length_557_cov_7.533865	557	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_8_length_571_cov_22.282946	571	virus	1	1	high-confidence	"superkingdom:Viruses;family:Anelloviridae;genus:Alphatorquevirus"	"1.00;1.00;1.00;1.00;1.00"	Alphatorquevirus	known_genus	-	0	genus:Homo	1	AAI-based	-	-
NODE_8_length_575_cov_10.217308	575	virus	1	0.99	high-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Pahexavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Pahexavirus	known_genus	virulent	1	species:Cutibacterium avidum	1	CRISPR-based (DB)	"d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"	"d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium avidum"
NODE_8_length_575_cov_25.328846	575	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_8_length_583_cov_25.560606	583	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_8_length_605_cov_5.838182	605	virus	0.5	0.92	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Pahexavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Pahexavirus	known_genus	virulent	1	species:Cutibacterium acnes	1	AAI-based	"d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes"	Not found
NODE_8_length_632_cov_17.126516	632	virus	0.5	0.99	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;subfamily:Hendrixvirinae;genus:Cuauhtlivirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Cuauhtlivirus	known_genus	temperate	1	species:Escherichia coli	1	AAI-based	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli"	Not found
NODE_8_length_643_cov_11.318027	643	non-virus	1	0.02	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_8_length_661_cov_11.405941	661	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_8_length_685_cov_7.877778	685	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_8_length_699_cov_5.184783	699	non-virus	0.67	0.11	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_8_length_699_cov_9.548137	699	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_8_length_816_cov_80.885677	816	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_8_length_826_cov_1596.714656	826	non-virus	0.5	0	"lower than viral score threshold; proteinal prophage, please run contamination detection task"	-	0	-	-	-	0	-	0	-	-	-
NODE_8_length_844_cov_10.770596	844	non-virus	0	0	lower than reject threshold	-	0	-	-	-	0	-	0	-	-	-
NODE_8_length_907_cov_8.323944	907	virus	0.5	0.92	medium-confidence	"superkingdom:Viruses;clade:Duplodnaviria;kingdom:Heunggongvirae;phylum:Uroviricota;class:Caudoviricetes;genus:Pahexavirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Pahexavirus	known_genus	virulent	1	species:Cutibacterium acnes	1	AAI-based	"d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes"	Not found
NODE_9_length_1002_cov_229.522703	1002	virus	1	0.58	medium-confidence	"superkingdom:Viruses;clade:Monodnaviria;kingdom:Sangervirae;phylum:Phixviricota;class:Malgrandaviricetes;order:Petitvirales;family:Microviridae;subfamily:Bullavirinae;genus:Sinsheimervirus"	"1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00"	Sinsheimervirus	known_genus	virulent	1	species:Pectobacterium peruviense	0.94	CRISPR-based (DB)	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"	"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pectobacterium;s__Pectobacterium peruviense"
